Action, Reward , Loss, Remaining length, Punto objetivo
############# EPISODIO 0#################
Punto alcanzado 
1, 0.9617538118027855, 4.464105606079102, 25.944178232720567,[-18.  -8. -15.],[-41.2706184387207, -9.012018203735352, -28.563337326049805]
1, 0.9257939444856869, 2.542191982269287, 26.953849127451825,[-18.  -8. -15.],[-41.775978088378906, -9.068404197692871, -29.683332443237305]
1, 0.8923804220341659, 2.2013540267944336, 27.964957951467525,[-18.  -8. -15.],[-42.28314208984375, -9.093555450439453, -30.800813674926758]
4, 0.8608240455188411, 2.2563986778259277, 28.991939674131487,[-18.  -8. -15.],[-42.786685943603516, -9.105412483215332, -31.625831604003906]
1, 0.8356535506950693, 2.4498839378356934, 29.866704092510368,[-18.  -8. -15.],[-43.29190444946289, -9.112082481384277, -31.853471755981445]
1, 0.8206649938471752, 2.581054925918579, 30.41310027530615,[-18.  -8. -15.],[-43.79622268676758, -9.11456298828125, -32.98540496826172]
1, 0.7932266809932708, 2.464085817337036, 31.466842031454668,[-18.  -8. -15.],[-44.299644470214844, -9.115772247314453, -34.11301803588867]
1, 0.7673336718492975, 3.609297275543213, 32.530350526973805,[-18.  -8. -15.],[-44.80207443237305, -9.116436958312988, -35.231727600097656]
4, 0.7429550525297974, 2.0298659801483154, 33.5994111115791,[-18.  -8. -15.],[-45.300846099853516, -9.116853713989258, -36.05741882324219]
1, 0.7236653660785795, 2.0982983112335205, 34.49635411871482,[-18.  -8. -15.],[-45.798683166503906, -9.117204666137695, -36.279727935791016]
4, 0.7127319408094267, 2.3094358444213867, 35.02630087632709,[-18.  -8. -15.],[-46.29557800292969, -9.117531776428223, -37.11924743652344]
1, 0.6947807986602504, 2.390098810195923, 35.93257183878374,[-18.  -8. -15.],[-46.79423904418945, -9.11782455444336, -37.36457443237305]
4, 0.6844353922325956, 1.9180405139923096, 36.476457111534216,[-18.  -8. -15.],[-47.28935241699219, -9.118000030517578, -38.213623046875]
4, 0.6677406989921859, 1.9374642372131348, 37.389682855533955,[-18.  -8. -15.],[-47.78608703613281, -9.11832332611084, -38.10774230957031]
1, 0.6619867180542893, 1.6256577968597412, 37.715108148211755,[-18.  -8. -15.],[-48.281959533691406, -9.118499755859375, -38.37147521972656]
1, 0.6524272909764087, 2.4685943126678467, 38.26844612536906,[-18.  -8. -15.],[-48.77163314819336, -9.118674278259277, -39.54248809814453]
3, 0.6340974495441967, 2.0035574436187744, 39.37611662918776,[-18.  -8. -15.],[-49.26553726196289, -9.147314071655273, -40.42501449584961]
1, 0.6193518162105414, 2.3196136951446533, 40.314780316558476,[-18.  -8. -15.],[-49.757564544677734, -9.47541332244873, -40.772666931152344]
############# EPISODIO 1#################
Punto alcanzado 
7, 2.524359028016967, 22.764606475830078, 9.853504106402397,[  0.   0. -10.],[0.0, 0.0, -6.41018533706665]
1, 6.868481589074193, 22.437816619873047, 3.5898146629333496,[  0.   0. -10.],[0.0, 0.0, -6.4830145835876465]
1, 7.008719431531853, 22.748802185058594, 3.5169854164123535,[  0.   0. -10.],[0.0, 0.0, -7.59251594543457]
1, 10.173005986979186, 22.525115966796875, 2.4074840545654297,[  0.   0. -10.],[0.0, 0.0, -8.731825828552246]
4, 30.0, 22.72585105895996, 1.268174171447754,[  0.   0. -10.],[0.0, 0.0, -9.556966781616211]
Punto alcanzado 
1, 1.1055294493565742, 22.84009552001953, 22.563599316192054,[-16.  11. -21.],[-3.811357259750366, 2.562152147293091, -12.626246452331543]
1, 1.4640547824721504, 22.92989158630371, 17.0258637581757,[-16.  11. -21.],[-4.668947696685791, 2.8369028568267822, -13.87491512298584]
7, 1.5895345974593709, 22.77082633972168, 15.67787408336924,[-16.  11. -21.],[-5.510349750518799, 2.959573745727539, -14.739423751831055]
7, 1.7036354335852884, 24.531543731689453, 14.624501074087007,[-16.  11. -21.],[-6.353104591369629, 3.0284337997436523, -14.066993713378906]
7, 1.7413753506911045, 22.996673583984375, 14.30646828817129,[-16.  11. -21.],[-7.188807487487793, 3.0637409687042236, -12.667488098144531]
